"PindBm
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","PindBm
References : ['Vout_raw','Vin_raw','Po_raw','Iout_raw','Iin_raw']
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","Vout_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Vin_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Po_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real","Iout_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","Iin_raw
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","PindBm
References : []
Dependency : [PindBm]
Num. Points : [100]
Matrix Size : scalar
Type : Real"
-20.101,-20.101,0.143 / -141.911,0.044 / -1.181,2.049E-4,0.003 / -141.911,3.648E-4 / 2.869,-20.101
-19.747,-19.747,0.149 / -141.912,0.046 / -1.182,2.222E-4,0.003 / -141.912,3.799E-4 / 2.874,-19.747
-19.394,-19.394,0.155 / -141.912,0.048 / -1.185,2.410E-4,0.003 / -141.912,3.957E-4 / 2.880,-19.394
-19.040,-19.040,0.162 / -141.913,0.050 / -1.187,2.614E-4,0.003 / -141.913,4.121E-4 / 2.886,-19.040
-18.687,-18.687,0.168 / -141.914,0.052 / -1.190,2.836E-4,0.003 / -141.914,4.291E-4 / 2.892,-18.687
-18.333,-18.333,0.175 / -141.914,0.054 / -1.192,3.076E-4,0.004 / -141.914,4.469E-4 / 2.899,-18.333
-17.980,-17.980,0.183 / -141.915,0.057 / -1.195,3.336E-4,0.004 / -141.915,4.654E-4 / 2.907,-17.980
-17.626,-17.626,0.190 / -141.917,0.059 / -1.199,3.618E-4,0.004 / -141.917,4.847E-4 / 2.916,-17.626
-17.273,-17.273,0.198 / -141.918,0.061 / -1.202,3.924E-4,0.004 / -141.918,5.048E-4 / 2.925,-17.273
-16.919,-16.919,0.206 / -141.920,0.064 / -1.206,4.256E-4,0.004 / -141.920,5.257E-4 / 2.936,-16.919
-16.566,-16.566,0.215 / -141.921,0.067 / -1.211,4.616E-4,0.004 / -141.921,5.474E-4 / 2.947,-16.566
-16.212,-16.212,0.224 / -141.924,0.069 / -1.216,0.001,0.004 / -141.924,5.701E-4 / 2.960,-16.212
-15.859,-15.859,0.233 / -141.926,0.072 / -1.221,0.001,0.005 / -141.926,5.936E-4 / 2.973,-15.859
-15.505,-15.505,0.243 / -141.929,0.075 / -1.227,0.001,0.005 / -141.929,6.182E-4 / 2.988,-15.505
-15.152,-15.152,0.253 / -141.932,0.078 / -1.233,0.001,0.005 / -141.932,6.437E-4 / 3.005,-15.152
-14.798,-14.798,0.263 / -141.936,0.082 / -1.240,0.001,0.005 / -141.936,6.703E-4 / 3.023,-14.798
-14.444,-14.444,0.274 / -141.940,0.085 / -1.248,0.001,0.005 / -141.940,6.979E-4 / 3.043,-14.444
-14.091,-14.091,0.285 / -141.945,0.089 / -1.256,0.001,0.006 / -141.945,7.267E-4 / 3.065,-14.091
-13.737,-13.737,0.297 / -141.951,0.092 / -1.266,0.001,0.006 / -141.951,7.566E-4 / 3.089,-13.737
-13.384,-13.384,0.309 / -141.958,0.096 / -1.276,0.001,0.006 / -141.958,7.877E-4 / 3.116,-13.384
-13.030,-13.030,0.322 / -141.965,0.100 / -1.287,0.001,0.006 / -141.965,8.201E-4 / 3.146,-13.030
-12.677,-12.677,0.335 / -141.974,0.104 / -1.299,0.001,0.007 / -141.974,8.538E-4 / 3.178,-12.677
-12.323,-12.323,0.349 / -141.984,0.109 / -1.313,0.001,0.007 / -141.984,8.888E-4 / 3.214,-12.323
-11.970,-11.970,0.364 / -141.996,0.113 / -1.328,0.001,0.007 / -141.996,9.251E-4 / 3.254,-11.970
-11.616,-11.616,0.379 / -142.009,0.118 / -1.345,0.001,0.008 / -142.009,9.630E-4 / 3.298,-11.616
-11.263,-11.263,0.394 / -142.024,0.123 / -1.363,0.002,0.008 / -142.024,0.001 / 3.347,-11.263
-10.909,-10.909,0.410 / -142.042,0.128 / -1.384,0.002,0.008 / -142.042,0.001 / 3.401,-10.909
-10.556,-10.556,0.427 / -142.061,0.133 / -1.406,0.002,0.009 / -142.061,0.001 / 3.460,-10.556
-10.202,-10.202,0.444 / -142.084,0.139 / -1.431,0.002,0.009 / -142.084,0.001 / 3.527,-10.202
-9.848,-9.848,0.463 / -142.109,0.145 / -1.459,0.002,0.009 / -142.109,0.001 / 3.601,-9.848
-9.495,-9.495,0.481 / -142.138,0.151 / -1.490,0.002,0.010 / -142.138,0.001 / 3.683,-9.495
-9.141,-9.141,0.501 / -142.171,0.157 / -1.524,0.003,0.010 / -142.171,0.001 / 3.774,-9.141
-8.788,-8.788,0.521 / -142.209,0.164 / -1.561,0.003,0.010 / -142.209,0.001 / 3.876,-8.788
-8.434,-8.434,0.542 / -142.251,0.171 / -1.604,0.003,0.011 / -142.251,0.001 / 3.989,-8.434
-8.081,-8.081,0.564 / -142.300,0.178 / -1.651,0.003,0.011 / -142.300,0.001 / 4.117,-8.081
-7.727,-7.727,0.586 / -142.355,0.186 / -1.704,0.003,0.012 / -142.355,0.001 / 4.261,-7.727
-7.374,-7.374,0.610 / -142.418,0.194 / -1.763,0.004,0.012 / -142.418,0.002 / 4.423,-7.374
-7.020,-7.020,0.633 / -142.491,0.202 / -1.830,0.004,0.013 / -142.491,0.002 / 4.606,-7.020
-6.667,-6.667,0.658 / -142.573,0.211 / -1.905,0.004,0.013 / -142.573,0.002 / 4.812,-6.667
-6.313,-6.313,0.683 / -142.665,0.220 / -1.988,0.005,0.014 / -142.665,0.002 / 5.043,-6.313
-5.960,-5.960,0.709 / -142.769,0.229 / -2.081,0.005,0.014 / -142.769,0.002 / 5.302,-5.960
-5.606,-5.606,0.735 / -142.885,0.239 / -2.185,0.005,0.015 / -142.885,0.002 / 5.592,-5.606
-5.253,-5.253,0.761 / -143.015,0.249 / -2.301,0.006,0.015 / -143.015,0.002 / 5.917,-5.253
-4.899,-4.899,0.788 / -143.161,0.260 / -2.431,0.006,0.016 / -143.161,0.002 / 6.282,-4.899
-4.545,-4.545,0.813 / -143.326,0.271 / -2.579,0.007,0.016 / -143.326,0.002 / 6.697,-4.545
-4.192,-4.192,0.838 / -143.509,0.283 / -2.746,0.007,0.017 / -143.509,0.002 / 7.164,-4.192
-3.838,-3.838,0.860 / -143.708,0.295 / -2.932,0.007,0.017 / -143.708,0.002 / 7.679,-3.838
-3.485,-3.485,0.881 / -143.925,0.308 / -3.133,0.008,0.018 / -143.925,0.002 / 8.236,-3.485
-3.131,-3.131,0.900 / -144.152,0.321 / -3.348,0.008,0.018 / -144.152,0.002 / 8.828,-3.131
-2.778,-2.778,0.918 / -144.378,0.335 / -3.572,0.008,0.018 / -144.378,0.003 / 9.444,-2.778
-2.424,-2.424,0.935 / -144.603,0.349 / -3.803,0.009,0.019 / -144.603,0.003 / 10.077,-2.424
-2.071,-2.071,0.950 / -144.832,0.364 / -4.039,0.009,0.019 / -144.832,0.003 / 10.722,-2.071
-1.717,-1.717,0.965 / -145.071,0.379 / -4.278,0.009,0.019 / -145.071,0.003 / 11.377,-1.717
-1.364,-1.364,0.979 / -145.323,0.396 / -4.519,0.010,0.020 / -145.323,0.003 / 12.041,-1.364
-1.010,-1.010,0.993 / -145.586,0.413 / -4.762,0.010,0.020 / -145.586,0.003 / 12.708,-1.010
-0.657,-0.657,1.005 / -145.849,0.430 / -5.005,0.010,0.020 / -145.849,0.003 / 13.373,-0.657
-0.303,-0.303,1.016 / -146.104,0.449 / -5.247,0.010,0.020 / -146.104,0.003 / 14.032,-0.303
0.051,0.051,1.026 / -146.357,0.468 / -5.487,0.011,0.021 / -146.357,0.004 / 14.685,0.051
0.404,0.404,1.036 / -146.612,0.488 / -5.726,0.011,0.021 / -146.612,0.004 / 15.331,0.404
0.758,0.758,1.044 / -146.875,0.508 / -5.962,0.011,0.021 / -146.875,0.004 / 15.972,0.758
1.111,1.111,1.053 / -147.145,0.530 / -6.197,0.011,0.021 / -147.145,0.004 / 16.608,1.111
1.465,1.465,1.061 / -147.425,0.553 / -6.430,0.011,0.021 / -147.425,0.004 / 17.238,1.465
1.818,1.818,1.068 / -147.712,0.576 / -6.661,0.011,0.021 / -147.712,0.004 / 17.860,1.818
2.172,2.172,1.075 / -148.000,0.601 / -6.887,0.012,0.022 / -148.000,0.005 / 18.471,2.172
2.525,2.525,1.082 / -148.273,0.626 / -7.108,0.012,0.022 / -148.273,0.005 / 19.065,2.525
2.879,2.879,1.088 / -148.513,0.653 / -7.321,0.012,0.022 / -148.513,0.005 / 19.632,2.879
3.232,3.232,1.095 / -148.719,0.681 / -7.524,0.012,0.022 / -148.719,0.005 / 20.169,3.232
3.586,3.586,1.101 / -148.910,0.710 / -7.717,0.012,0.022 / -148.910,0.005 / 20.680,3.586
3.939,3.939,1.107 / -149.106,0.740 / -7.903,0.012,0.022 / -149.106,0.006 / 21.169,3.939
4.293,4.293,1.114 / -149.319,0.771 / -8.082,0.012,0.022 / -149.319,0.006 / 21.638,4.293
4.646,4.646,1.120 / -149.554,0.804 / -8.254,0.013,0.022 / -149.554,0.006 / 22.091,4.646
5.000,5.000,1.126 / -149.808,0.838 / -8.421,0.013,0.023 / -149.808,0.006 / 22.529,5.000
